Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,1,0,0.2,0.2,0,0,Feb,1,1,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,64,0,0.1,0,0,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Feb,4,1,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,2.666666667,0.05,0.14,0,0,Feb,3,2,2,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,627.5,0.02,0.05,0,0,Feb,3,3,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,19,154.2166667,0.015789474,0.024561404,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0.4,Feb,2,4,3,3,Returning_Visitor,FALSE,FALSE
7,164.5833333,1,28.5,115,3427.665476,0,0.016290123,4.970219813,0,Nov,2,2,4,10,Returning_Visitor,FALSE,TRUE
0,0,3,62.75,24,680.2559524,0.015384615,0.038461538,72.06822266,0,Nov,1,1,8,10,Returning_Visitor,FALSE,FALSE
1,4,0,0,8,492.25,0,0.044444444,0,0,Dec,2,2,1,2,New_Visitor,FALSE,FALSE
0,0,0,0,27,799.375,0.007407407,0.027601411,0,0,Dec,3,2,2,1,Returning_Visitor,TRUE,FALSE
1,140.5,0,0,19,1475.166667,0.02037037,0.043333333,16.9796231,0,Nov,3,2,2,10,Returning_Visitor,FALSE,FALSE
1,31.5,0,0,3,32.83333333,0,0.05,0,0,Dec,2,2,9,2,New_Visitor,TRUE,FALSE
0,0,0,0,2,124.5,0,0.1,0,0,Dec,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,12,0.033333333,0.133333333,0,0,Dec,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,171.5,0,0.022222222,0,0,Nov,2,2,2,13,Returning_Visitor,FALSE,FALSE
6,647.3333333,6,191.5833333,175,10886.87692,0.005110897,0.018243793,16.64099403,0,Nov,2,2,1,2,Returning_Visitor,FALSE,TRUE
2,51,3,68.75,227,12460.67006,0.007569141,0.014819782,0,0,Nov,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,87,4403.382777,0.002941176,0.011552302,0,0,Dec,2,2,6,2,Returning_Visitor,FALSE,FALSE
5,96.75,0,0,113,2151.097436,0,0.005172414,0,0,Nov,2,2,2,11,New_Visitor,FALSE,FALSE
2,54.5,4,29.5,11,1055.75,0,0.026666667,0,0,Dec,2,2,1,2,New_Visitor,FALSE,FALSE
7,229.75,0,0,33,760.6190476,0,0.011111111,51.86660251,0,Nov,2,2,3,2,New_Visitor,FALSE,TRUE
1,58.5,1,0,11,1012.166667,0,0.041666667,62.86831138,0,Nov,2,2,1,1,Returning_Visitor,FALSE,TRUE
3,17.5,0,0,15,810.3333333,0,0.020512821,0,0,Nov,2,2,3,11,Returning_Visitor,TRUE,FALSE
0,0,2,139.75,141,4567.942696,0.002944942,0.02119383,0,0,Dec,2,5,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,502.9166667,0,0.021428571,0,0,Dec,1,1,2,1,Returning_Visitor,FALSE,FALSE
2,37.5,0,0,3,45.25,0,0.02,0,0,Dec,4,1,3,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,15,1251.316667,0,0.03452381,0,0,Nov,3,2,1,2,Returning_Visitor,TRUE,TRUE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,1,1,3,3,Returning_Visitor,FALSE,FALSE
2,63.5,0,0,12,222.5,0,0.007142857,0,0,Dec,2,10,3,2,New_Visitor,TRUE,FALSE
0,0,0,0,2,0,0.2,0.2,0,0,Nov,1,8,3,1,Returning_Visitor,TRUE,FALSE
3,43.625,1,16,109,3624.056349,0.009489489,0.01406394,11.32556227,0,Nov,1,2,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,5,155.25,0,0.12,0,0,Nov,1,1,1,1,Returning_Visitor,FALSE,FALSE
1,5,0,0,12,900.5,0.011538462,0.026923077,0,0,Nov,2,2,4,6,Returning_Visitor,FALSE,FALSE
3,281.9166667,2,6,83,2616.905952,0.002409639,0.033978772,0,0,Nov,2,2,3,2,Returning_Visitor,TRUE,TRUE
5,157.5,0,0,15,138.75,0.0125,0.025,0,0,Nov,1,1,1,2,New_Visitor,FALSE,FALSE
1,9,0,0,95,4334.815476,0.005531915,0.03962766,0,0,Dec,2,2,1,1,Returning_Visitor,FALSE,FALSE
1,115,0,0,48,1129.214286,0.008163265,0.010945092,0,0,May,1,1,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,272,0,0.016666667,0,0.8,May,2,2,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,26,2676,0.030769231,0.04556213,0,0.6,May,2,6,2,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,68,0,0.1,0,0,May,2,2,3,2,Returning_Visitor,FALSE,FALSE
1,6,0,0,61,3545.19127,0.008954009,0.057518519,0,0.6,May,2,2,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,17,315,0.004166667,0.020625,0,0.2,May,2,2,3,4,Returning_Visitor,FALSE,FALSE
5,71.66666667,1,4,59,1702.369048,0.00078125,0.009867424,6.560625,0,May,2,2,6,1,Returning_Visitor,FALSE,TRUE
5,53.5,0,0,57,2874.966667,0.003278689,0.016721311,0,0,May,2,2,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,102,0,0.033333333,0,0,May,2,2,1,3,Returning_Visitor,FALSE,FALSE
4,63.6,0,0,27,459.9636364,0.007407407,0.033950617,0,0,May,1,1,1,3,Returning_Visitor,TRUE,FALSE
1,77,0,0,22,710.6666667,0,0.002173913,0,0,May,2,4,3,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,June,1,1,9,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,29.2,0,0.05,0,0,Jul,1,1,4,3,Returning_Visitor,FALSE,FALSE
3,37.3,0,0,19,317.8,0.018181818,0.045454545,0,0,Jul,2,2,7,4,Returning_Visitor,FALSE,FALSE
4,49.2,0,0,3,22,0,0.025,0,0,Nov,2,2,3,2,New_Visitor,FALSE,TRUE
3,52.9,0,0,8,278.58,0,0.01,26.18180656,0,Jul,1,1,1,2,New_Visitor,FALSE,FALSE
